"LibraryName", "LibraryPath", "LibraryPathGeneric", "ExecutableName", "ExecutablePath", "ExecutablePathGeneric", "Type"
"avdevice-54.dll","C:\Program Files\AnyMP4 Studio\AnyMP4 Blu-ray Creator\avdevice-54.dll","%PROGRAMFILES%\AnyMP4 Studio\AnyMP4 Blu-ray Creator\avdevice-54.dll","AnyMP4 Blu-ray Creator.exe","C:\Program Files\AnyMP4 Studio\AnyMP4 Blu-ray Creator\AnyMP4 Blu-ray Creator.exe","%PROGRAMFILES%\AnyMP4 Studio\AnyMP4 Blu-ray Creator\AnyMP4 Blu-ray Creator.exe","Sideloading"
"tosbtkbd.dll","C:\Program Files\Toshiba\Bluetooth Toshiba Stack\tosbtkbd.dll","%PROGRAMFILES%\Toshiba\Bluetooth Toshiba Stack\tosbtkbd.dll","TosBtKbd.exe","C:\Program Files\Toshiba\Bluetooth Toshiba Stack\TosBtKbd.exe","%PROGRAMFILES%\Toshiba\Bluetooth Toshiba Stack\TosBtKbd.exe","Sideloading"
"libxfont-1.dll","C:\Program Files\Mobatek\MobaXterm Personal Edition\libxfont-1.dll","%PROGRAMFILES%\Mobatek\MobaXterm Personal Edition\libxfont-1.dll","MobaXterm.exe","C:\Program Files\Mobatek\MobaXterm Personal Edition\MobaXterm.exe","%PROGRAMFILES%\Mobatek\MobaXterm Personal Edition\MobaXterm.exe","Sideloading"
"libxfont-1.dll","C:\Program Files\Mobatek\MobaXterm Personal Edition\libxfont-1.dll","%PROGRAMFILES%\Mobatek\MobaXterm Personal Edition\libxfont-1.dll","MobaXterm.exe","C:\Program Files\Mobatek\MobaXterm\MobaXterm.exe","%PROGRAMFILES%\Mobatek\MobaXterm\MobaXterm.exe","Sideloading"
"libxfont-1.dll","C:\Program Files\Mobatek\MobaXterm\libxfont-1.dll","%PROGRAMFILES%\Mobatek\MobaXterm\libxfont-1.dll","MobaXterm.exe","C:\Program Files\Mobatek\MobaXterm Personal Edition\MobaXterm.exe","%PROGRAMFILES%\Mobatek\MobaXterm Personal Edition\MobaXterm.exe","Sideloading"
"libxfont-1.dll","C:\Program Files\Mobatek\MobaXterm\libxfont-1.dll","%PROGRAMFILES%\Mobatek\MobaXterm\libxfont-1.dll","MobaXterm.exe","C:\Program Files\Mobatek\MobaXterm\MobaXterm.exe","%PROGRAMFILES%\Mobatek\MobaXterm\MobaXterm.exe","Sideloading"
"avutil.dll","C:\Program Files\VSO\ConvertX\7\avutil.dll","%PROGRAMFILES%\VSO\ConvertX\7\avutil.dll","ConvertXToDVD.exe","C:\Program Files\VSO\ConvertX\7\ConvertXToDVD.exe","%PROGRAMFILES%\VSO\ConvertX\7\ConvertXToDVD.exe","Sideloading"
"avutil.dll","C:\Program Files\VSO\convertXtoDVD\avutil.dll","%PROGRAMFILES%\VSO\convertXtoDVD\avutil.dll","ConvertXToDVD.exe","C:\Program Files\VSO\ConvertX\7\ConvertXToDVD.exe","%PROGRAMFILES%\VSO\ConvertX\7\ConvertXToDVD.exe","Sideloading"
"avutil.dll","C:\Program Files\Common Files\Oracle\Java\javapath\avutil.dll","%PROGRAMFILES%\Common Files\Oracle\Java\javapath\avutil.dll","ConvertXToDVD.exe","C:\Program Files\VSO\ConvertX\7\ConvertXToDVD.exe","%PROGRAMFILES%\VSO\ConvertX\7\ConvertXToDVD.exe","Sideloading"
"vstdlib_s64.dll","C:\Program Files\Steam\vstdlib_s64.dll","%PROGRAMFILES%\Steam\vstdlib_s64.dll","steamerrorreporter64.exe","C:\Program Files\Steam\steamerrorreporter64.exe","%PROGRAMFILES%\Steam\steamerrorreporter64.exe","Sideloading"
"register.dll","C:\Program Files\IObit\Driver Booster\%VERSION%\register.dll","%PROGRAMFILES%\IObit\Driver Booster\%VERSION%\register.dll","DriverBooster.exe","C:\Program Files\IObit\Driver Booster\%VERSION%\DriverBooster.exe","%PROGRAMFILES%\IObit\Driver Booster\%VERSION%\DriverBooster.exe","Sideloading"
"corefoundation.dll","C:\Program Files\Common Files\Apple\Apple Application Support\corefoundation.dll","%PROGRAMFILES%\Common Files\Apple\Apple Application Support\corefoundation.dll","ituneshelper.exe","C:\Program Files\iTunes\ituneshelper.exe","%PROGRAMFILES%\iTunes\ituneshelper.exe","Sideloading"
"corefoundation.dll","C:\Program Files\Common Files\Apple\Apple Application Support\corefoundation.dll","%PROGRAMFILES%\Common Files\Apple\Apple Application Support\corefoundation.dll","QuickTimePlayer.exe","C:\Program Files\QuickTime\QuickTimePlayer.exe","%PROGRAMFILES%\QuickTime\QuickTimePlayer.exe","Sideloading"
"corefoundation.dll","C:\Windows\System32\corefoundation.dll","%SYSTEM32%\corefoundation.dll","ituneshelper.exe","C:\Program Files\iTunes\ituneshelper.exe","%PROGRAMFILES%\iTunes\ituneshelper.exe","Sideloading"
"corefoundation.dll","C:\Windows\System32\corefoundation.dll","%SYSTEM32%\corefoundation.dll","QuickTimePlayer.exe","C:\Program Files\QuickTime\QuickTimePlayer.exe","%PROGRAMFILES%\QuickTime\QuickTimePlayer.exe","Sideloading"
"python310.dll","C:\Program Files\Python310\python310.dll","%PROGRAMFILES%\Python310\python310.dll","pythonw.exe","","","Sideloading"
"python310.dll","C:\Program Files\Python310\python310.dll","%PROGRAMFILES%\Python310\python310.dll","dwagent.exe","","","Sideloading"
"python310.dll","C:\Users\<User>\AppData\Local\Temp\%VERSION%\python310.dll","%LOCALAPPDATA%\Temp\%VERSION%\python310.dll","pythonw.exe","","","Sideloading"
"python310.dll","C:\Users\<User>\AppData\Local\Temp\%VERSION%\python310.dll","%LOCALAPPDATA%\Temp\%VERSION%\python310.dll","dwagent.exe","","","Sideloading"
"python310.dll","C:\Program Files\DWAgent\runtime\python310.dll","%PROGRAMFILES%\DWAgent\runtime\python310.dll","pythonw.exe","","","Sideloading"
"python310.dll","C:\Program Files\DWAgent\runtime\python310.dll","%PROGRAMFILES%\DWAgent\runtime\python310.dll","dwagent.exe","","","Sideloading"
"python310.dll","C:\Users\<User>\anaconda3\python310.dll","%USERPROFILE%\anaconda3\python310.dll","pythonw.exe","","","Sideloading"
"python310.dll","C:\Users\<User>\anaconda3\python310.dll","%USERPROFILE%\anaconda3\python310.dll","dwagent.exe","","","Sideloading"
"python39.dll","C:\Program Files\Python39\python39.dll","%PROGRAMFILES%\Python39\python39.dll","python39.exe","","","Sideloading"
"python39.dll","C:\Users\<User>\AppData\Local\Temp\%VERSION%\python39.dll","%LOCALAPPDATA%\Temp\%VERSION%\python39.dll","python39.exe","","","Sideloading"
"python39.dll","C:\Program Files\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\VC\SecurityIssueAnalysis\python\python39.dll","%PROGRAMFILES%\Microsoft Visual Studio\2022\Community\Common7\IDE\CommonExtensions\Microsoft\VC\SecurityIssueAnalysis\python\python39.dll","python39.exe","","","Sideloading"
"python39.dll","C:\Users\<User>\anaconda3\python39.dll","%USERPROFILE%\anaconda3\python39.dll","python39.exe","","","Sideloading"
"python311.dll","C:\Program Files\Python311\python311.dll","%PROGRAMFILES%\Python311\python311.dll","pythonw.exe","","","Sideloading"
"python311.dll","C:\Users\<User>\AppData\Local\Programs\Python\Python311\python311.dll","%LOCALAPPDATA%\Programs\Python\Python311\python311.dll","pythonw.exe","","","Sideloading"
"goopdate.dll","C:\Program Files\Dropbox\Update\goopdate.dll","%PROGRAMFILES%\Dropbox\Update\goopdate.dll","DropboxUpdate.exe","","","Sideloading"
"goopdate.dll","C:\Program Files\Dropbox\Update\goopdate.dll","%PROGRAMFILES%\Dropbox\Update\goopdate.dll","DropboxCrashHandler.exe","","","Sideloading"
